price;bedrooms;is_studio;bedrooms_log;accommodates;beds;room_type;neighbourhood_cleansed;review_scores_rating;number_of_reviews
70.0;1;0;0.6931471805599453;1;1,0;Private room;Islington;4,85;55
149.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Kensington and Chelsea;4,8;97
411.0;3;0;1.3862943611198906;6;3,0;Entire home/apt;Westminster;4,77;56
210.0;1;0;0.6931471805599453;4;0,0;Entire home/apt;Tower Hamlets;4,53;15
280.0;3;0;1.3862943611198906;5;3,0;Entire home/apt;Richmond upon Thames;4,8;116
90.0;1;0;0.6931471805599453;2;1,0;Private room;Haringey;4,87;730
61.0;1;0;0.6931471805599453;2;1,0;Private room;Hammersmith and Fulham;4,77;387
340.0;4;0;1.6094379124341003;7;4,0;Entire home/apt;Hammersmith and Fulham;4,83;42
49.0;1;0;0.6931471805599453;2;1,0;Private room;Southwark;4,97;72
213.0;2;0;1.0986122886681098;4;3,0;Entire home/apt;Barnet;4,5;25
96.0;1;0;0.6931471805599453;1;1,0;Private room;Southwark;4,7;137
71.0;1;0;0.6931471805599453;2;1,0;Private room;Barnet;4,89;639
48.0;1;0;0.6931471805599453;2;3,0;Private room;Hammersmith and Fulham;4,74;266
76.0;1;0;0.6931471805599453;1;1,0;Private room;Camden;5,0;1
50.0;1;0;0.6931471805599453;1;1,0;Private room;Camden;4,81;456
78.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Hammersmith and Fulham;4,73;221
79.0;1;0;0.6931471805599453;2;1,0;Hotel room;Hammersmith and Fulham;4,71;263
86.0;1;0;0.6931471805599453;2;2,0;Private room;Merton;4,95;19
78.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Hammersmith and Fulham;4,71;173
89.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Hammersmith and Fulham;4,63;227
79.0;1;0;0.6931471805599453;2;1,0;Private room;Hammersmith and Fulham;4,69;229
159.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Hackney;4,89;55
40.0;1;0;0.6931471805599453;1;1,0;Private room;Barnet;4,54;25
53.0;1;0;0.6931471805599453;1;1,0;Private room;Haringey;4,46;13
117.0;2;0;1.0986122886681098;6;3,0;Entire home/apt;Lambeth;4,9;110
106.0;1;0;0.6931471805599453;2;0,0;Private room;Waltham Forest;5,0;2
35.0;1;0;0.6931471805599453;2;1,0;Private room;Merton;4,9;169
110.0;1;0;0.6931471805599453;2;2,0;Entire home/apt;Wandsworth;4,92;178
169.0;1;0;0.6931471805599453;3;4,0;Entire home/apt;Richmond upon Thames;4,82;17
417.0;2;0;1.0986122886681098;5;4,0;Entire home/apt;Camden;4,85;270
163.0;1;0;0.6931471805599453;3;2,0;Entire home/apt;Tower Hamlets;4,68;214
125.0;1;0;0.6931471805599453;1;1,0;Private room;Islington;4,95;77
217.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Havering;;0
43.0;1;0;0.6931471805599453;1;1,0;Private room;Greenwich;4,5;2
57.0;1;0;0.6931471805599453;2;1,0;Private room;Southwark;4,79;460
75.0;1;0;0.6931471805599453;1;1,0;Private room;Lambeth;4,86;586
145.0;2;0;1.0986122886681098;4;2,0;Entire home/apt;Hammersmith and Fulham;4,8;232
135.0;1;0;0.6931471805599453;4;3,0;Entire home/apt;Islington;4,65;153
80.0;1;0;0.6931471805599453;1;1,0;Private room;Hammersmith and Fulham;4,95;20
160.0;1;0;0.6931471805599453;4;2,0;Entire home/apt;Islington;4,6;75
90.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Islington;4,85;339
175.0;2;0;1.0986122886681098;5;3,0;Entire home/apt;Hammersmith and Fulham;4,85;40
350.0;2;0;1.0986122886681098;4;3,0;Entire home/apt;Westminster;4,69;27
60.0;1;0;0.6931471805599453;2;1,0;Private room;Lambeth;4,86;47
100.0;1;0;0.6931471805599453;2;2,0;Entire home/apt;Haringey;4,58;39
120.0;1;0;0.6931471805599453;2;1,0;Private room;Lambeth;4,91;403
192.0;1;0;0.6931471805599453;1;1,0;Private room;Hammersmith and Fulham;4,88;17
55.0;1;0;0.6931471805599453;1;1,0;Private room;Tower Hamlets;4,84;65
176.0;2;0;1.0986122886681098;4;3,0;Entire home/apt;Westminster;4,91;796
36.0;1;0;0.6931471805599453;1;1,0;Private room;Enfield;4,9;39
135.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Hammersmith and Fulham;4,86;103
156.0;2;0;1.0986122886681098;5;3,0;Entire home/apt;Camden;4,89;222
105.0;1;0;0.6931471805599453;3;2,0;Entire home/apt;Lambeth;4,77;152
170.0;1;0;0.6931471805599453;2;2,0;Entire home/apt;City of London;4,89;277
76.0;1;0;0.6931471805599453;1;0,0;Private room;Tower Hamlets;4,55;60
83.0;1;0;0.6931471805599453;1;1,0;Private room;Islington;4,68;50
239.0;1;0;0.6931471805599453;3;2,0;Entire home/apt;Hackney;4,92;121
218.0;2;0;1.0986122886681098;7;5,0;Entire home/apt;Merton;4,8;5
90.0;1;0;0.6931471805599453;2;1,0;Private room;Southwark;4,88;194
58.0;1;0;0.6931471805599453;3;1,0;Private room;Hammersmith and Fulham;4,7;189
42.0;1;0;0.6931471805599453;2;1,0;Private room;Lambeth;4,73;100
39.0;1;0;0.6931471805599453;2;2,0;Private room;Wandsworth;4,79;22
131.0;1;0;0.6931471805599453;3;2,0;Entire home/apt;Hackney;4,74;235
224.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Kensington and Chelsea;4,24;47
151.0;2;0;1.0986122886681098;6;2,0;Entire home/apt;Brent;4,54;13
198.0;2;0;1.0986122886681098;4;3,0;Entire home/apt;Hammersmith and Fulham;4,88;48
70.0;1;0;0.6931471805599453;2;1,0;Private room;Richmond upon Thames;4,85;276
93.0;1;0;0.6931471805599453;1;1,0;Private room;Southwark;4,98;249
108.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Islington;4,85;39
45.0;1;0;0.6931471805599453;1;1,0;Private room;Barking and Dagenham;4,65;42
44.0;1;0;0.6931471805599453;2;1,0;Private room;Tower Hamlets;4,78;289
23.0;1;0;0.6931471805599453;1;1,0;Private room;Croydon;4,5;77
93.0;1;0;0.6931471805599453;1;1,0;Private room;Southwark;4,92;151
54.0;1;0;0.6931471805599453;2;1,0;Private room;Haringey;4,89;100
36.0;1;0;0.6931471805599453;2;1,0;Private room;Lewisham;4,64;22
78.0;3;0;1.3862943611198906;2;3,0;Private room;Hammersmith and Fulham;4,87;334
151.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Hackney;4,41;147
95.0;2;0;1.0986122886681098;3;2,0;Entire home/apt;Kensington and Chelsea;4,74;71
53.0;1;0;0.6931471805599453;2;1,0;Private room;Croydon;5,0;28
189.0;2;0;1.0986122886681098;4;2,0;Entire home/apt;Hammersmith and Fulham;4,98;53
66.0;1;0;0.6931471805599453;2;1,0;Private room;Southwark;4,85;337
71.0;1;0;0.6931471805599453;3;2,0;Private room;Lambeth;4,63;597
191.0;1;0;0.6931471805599453;3;1,0;Entire home/apt;Hammersmith and Fulham;4,78;144
150.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Kensington and Chelsea;4,86;189
50.0;1;0;0.6931471805599453;2;1,0;Private room;Islington;4,77;13
250.0;3;0;1.3862943611198906;6;4,0;Entire home/apt;Hackney;4,92;25
380.0;1;0;0.6931471805599453;2;1,0;Private room;Enfield;4,82;11
100.0;1;0;0.6931471805599453;3;1,0;Entire home/apt;Tower Hamlets;4,52;53
160.0;4;0;1.6094379124341003;6;4,0;Entire home/apt;Hackney;4,39;18
40.0;1;0;0.6931471805599453;1;1,0;Private room;Ealing;4,8;643
130.0;2;0;1.0986122886681098;4;3,0;Entire home/apt;Newham;4,24;45
303.0;4;0;1.6094379124341003;10;8,0;Entire home/apt;Lewisham;4,69;70
116.0;1;0;0.6931471805599453;2;2,0;Entire home/apt;Lewisham;4,52;25
174.0;2;0;1.0986122886681098;4;3,0;Entire home/apt;Lewisham;4,5;60
170.0;2;0;1.0986122886681098;5;5,0;Entire home/apt;Lewisham;4,66;38
187.0;2;0;1.0986122886681098;4;4,0;Entire home/apt;Lewisham;4,67;55
148.0;2;0;1.0986122886681098;3;2,0;Entire home/apt;Lewisham;4,0;9
142.0;1;0;0.6931471805599453;4;3,0;Entire home/apt;Lewisham;4,57;21
235.0;4;0;1.6094379124341003;7;6,0;Entire home/apt;Lewisham;4,66;47
236.0;3;0;1.3862943611198906;7;4,0;Entire home/apt;Lewisham;4,7;69
66.0;1;0;0.6931471805599453;2;2,0;Private room;Lambeth;4,63;563
74.0;1;0;0.6931471805599453;3;1,0;Entire home/apt;Richmond upon Thames;4,64;88
50.0;0;1;0.0;2;1,0;Entire home/apt;Lewisham;4,55;44
248.0;1;0;0.6931471805599453;5;4,0;Entire home/apt;Hammersmith and Fulham;4,54;61
112.0;2;0;1.0986122886681098;5;2,0;Entire home/apt;Lewisham;4,42;111
122.0;2;0;1.0986122886681098;6;4,0;Entire home/apt;Hounslow;4,13;15
140.0;1;0;0.6931471805599453;2;1,0;Private room;Camden;4,93;84
95.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Ealing;4,6;25
117.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Hackney;4,86;37
32.0;1;0;0.6931471805599453;1;1,0;Private room;Newham;4,92;66
37.0;1;0;0.6931471805599453;1;1,0;Private room;Newham;4,83;63
40.0;1;0;0.6931471805599453;1;0,0;Private room;Greenwich;;0
118.0;1;0;0.6931471805599453;3;2,0;Private room;Hammersmith and Fulham;4,46;235
48.0;1;0;0.6931471805599453;1;1,0;Private room;Waltham Forest;4,9;79
57.0;1;0;0.6931471805599453;1;1,0;Private room;Hillingdon;;0
189.0;3;0;1.3862943611198906;6;3,0;Entire home/apt;Haringey;4,73;77
253.0;2;0;1.0986122886681098;5;2,0;Entire home/apt;Hackney;4,7;53
41.0;1;0;0.6931471805599453;1;1,0;Private room;Barking and Dagenham;4,0;3
529.0;5;0;1.791759469228055;7;4,0;Entire home/apt;Camden;4,93;28
45.0;1;0;0.6931471805599453;2;1,0;Private room;Hillingdon;4,83;127
38.0;1;0;0.6931471805599453;2;1,0;Private room;Greenwich;4,96;397
44.0;1;0;0.6931471805599453;2;1,0;Private room;Lambeth;4,92;40
429.0;4;0;1.6094379124341003;13;10,0;Entire home/apt;Merton;4,71;133
248.0;1;0;0.6931471805599453;2;1,0;Entire home/apt;Hackney;4,96;169
219.0;3;0;1.3862943611198906;6;3,0;Entire home/apt;Hackney;4,85;13
